nome,linguagem,stargazes,watchers,data_criacao,forks,url,releases
donnemartin/system-design-primer,Python,86541,4509,2017-02-26T16:15:28Z,14808,https://github.com/donnemartin/system-design-primer,0
vinta/awesome-python,Python,80795,5206,2014-06-27T21:00:06Z,15921,https://github.com/vinta/awesome-python,0
public-apis/public-apis,Python,73376,2118,2016-03-20T23:49:42Z,8407,https://github.com/public-apis/public-apis,0
TheAlgorithms/Python,Python,69037,3448,2016-07-16T09:44:01Z,20863,https://github.com/TheAlgorithms/Python,0
ytdl-org/youtube-dl,Python,63633,1844,2010-10-31T14:35:07Z,11060,https://github.com/ytdl-org/youtube-dl,291
tensorflow/models,Python,62732,2986,2016-02-05T01:15:20Z,40110,https://github.com/tensorflow/models,10
nvbn/thefuck,Python,52756,819,2015-04-08T15:08:04Z,2644,https://github.com/nvbn/thefuck,15
pallets/flask,Python,49688,2274,2010-04-06T11:11:59Z,13395,https://github.com/pallets/flask,9
django/django,Python,48224,2229,2012-04-28T02:47:18Z,20886,https://github.com/django/django,0
keras-team/keras,Python,47491,2082,2015-03-28T00:35:42Z,17959,https://github.com/keras-team/keras,22
jakubroztocil/httpie,Python,46209,1076,2012-02-25T12:39:13Z,2986,https://github.com/jakubroztocil/httpie,32
josephmisiti/awesome-machine-learning,Python,44038,3332,2014-07-15T19:11:19Z,11134,https://github.com/josephmisiti/awesome-machine-learning,0
ansible/ansible,Python,42468,2024,2012-03-06T14:58:02Z,18718,https://github.com/ansible/ansible,3
psf/requests,Python,42073,1406,2011-02-13T18:38:17Z,7639,https://github.com/psf/requests,0
scikit-learn/scikit-learn,Python,39999,2244,2010-08-17T09:43:38Z,19443,https://github.com/scikit-learn/scikit-learn,17
scrapy/scrapy,Python,36608,1835,2010-02-22T02:01:14Z,8493,https://github.com/scrapy/scrapy,13
minimaxir/big-list-of-naughty-strings,Python,35513,835,2015-08-08T20:57:20Z,1565,https://github.com/minimaxir/big-list-of-naughty-strings,0
ageitgey/face_recognition,Python,33189,1495,2017-03-03T21:52:39Z,9248,https://github.com/ageitgey/face_recognition,2
shadowsocks/shadowsocks,Python,32514,2104,2012-04-20T13:10:49Z,19727,https://github.com/shadowsocks/shadowsocks,2
home-assistant/core,Python,32427,1140,2013-09-17T07:29:48Z,9913,https://github.com/home-assistant/core,547
