nome,linguagem,stargazes,watchers,data_criacao,forks,url,releases
mypy,Python,8189,174,2012-12-07T13:30:23Z,1218,https://github.com/python/mypy,0
ballot-box,Python,8,2,2015-03-13T23:41:12Z,4,https://github.com/gvanrossum/ballot-box,0
micropython,C,443,68,2015-08-07T11:58:53Z,228,https://github.com/bbcmicrobit/micropython,2
cpython,Python,3,1,2015-11-05T12:07:26Z,0,https://github.com/fake-python/cpython,6
make-stub-files,Python,20,3,2016-01-26T16:54:22Z,3,https://github.com/edreamleo/make-stub-files,0
typed_ast,C,152,18,2016-02-16T22:40:09Z,35,https://github.com/python/typed_ast,0
mypy-website,HTML,10,7,2016-03-11T16:02:25Z,4,https://github.com/JukkaL/mypy-website,0
overload-sig,,2,13,2016-08-17T14:22:49Z,0,https://github.com/python/overload-sig,0
com2ann,Python,50,6,2016-09-09T07:17:02Z,1,https://github.com/ilevkivskyi/com2ann,0
gvanrossum.github.io,HTML,41,2,2016-09-09T22:54:11Z,6,https://github.com/gvanrossum/gvanrossum.github.io,0
TatSu,Python,148,13,2017-05-02T02:58:58Z,34,https://github.com/neogeny/TatSu,13
pythonlabs,HTML,16,2,2017-06-04T05:00:26Z,0,https://github.com/gvanrossum/pythonlabs,0
mypy-dummy,Python,6,2,2017-08-31T16:42:53Z,0,https://github.com/gvanrossum/mypy-dummy,0
pep550,Python,7,3,2017-09-05T21:59:49Z,1,https://github.com/gvanrossum/pep550,0
mypy_mypyc-wheels,Shell,4,2,2018-10-10T20:02:06Z,0,https://github.com/mypyc/mypy_mypyc-wheels,1162
mypy_extensions,Python,69,13,2019-01-14T23:37:26Z,10,https://github.com/python/mypy_extensions,0
pygl,Python,3,2,2019-04-27T10:47:30Z,0,https://github.com/neogeny/pygl,0
pegen,Python,152,18,2019-05-07T16:43:15Z,19,https://github.com/gvanrossum/pegen,0
ctok,C,51,3,2019-06-22T03:38:29Z,5,https://github.com/gvanrossum/ctok,0
test-581,,2,2,2019-06-28T18:52:53Z,0,https://github.com/willingc/test-581,0
guidos_time_machine,Python,53,12,2020-03-05T04:06:18Z,2,https://github.com/gvanrossum/guidos_time_machine,0
